Date,Open,High,Low,Close,Volume,Adj Close
2017-03-15,954,955,948,953,53300,953
2017-03-14,952,970,952,963,81600,963
2017-03-13,971,971,955,955,120600,955
2017-03-10,976,976,960,967,139100,967
2017-03-09,957,976,953,964,180200,964
2017-03-08,944,959,943,955,75100,955
2017-03-07,951,955,936,948,78300,948
2017-03-06,950,958,946,951,69700,951
2017-03-03,949,955,942,951,73900,951
2017-03-02,960,976,942,946,174100,946
2017-03-01,954,957,932,947,196900,947
2017-02-28,951,965,942,953,221800,953
2017-02-27,936,942,921,940,94700,940
2017-02-24,941,944,927,942,131200,942
2017-02-23,951,956,934,950,112500,950
2017-02-22,932,952,922,951,182100,951
2017-02-21,929,935,920,932,72400,932
2017-02-20,901,930,892,929,156300,929
2017-02-17,900,906,884,900,65600,900
2017-02-16,917,918,896,903,91500,903
2017-02-15,885,917,885,916,243600,916
2017-02-14,882,900,877,880,173300,880
2017-02-13,886,893,870,877,204600,877
2017-02-10,866,883,859,879,227500,879
2017-02-09,899,906,849,854,408900,854
2017-02-08,910,922,873,898,347800,898
2017-02-07,861,900,860,899,239800,899
2017-02-06,870,881,853,861,91800,861
2017-02-03,858,873,857,863,121700,863
2017-02-02,887,887,857,857,109800,857
2017-02-01,866,887,861,886,127600,886
2017-01-31,880,890,863,871,244100,871
2017-01-30,893,896,878,896,123300,896
2017-01-27,902,902,891,893,89800,893
2017-01-26,904,907,887,896,85600,896
2017-01-25,890,928,883,889,120300,889
2017-01-24,885,889,880,885,106300,885
2017-01-23,903,907,885,890,161800,890
2017-01-20,905,911,894,904,242800,904
2017-01-19,910,934,910,912,147200,912
2017-01-18,901,915,901,909,136200,909
2017-01-17,922,930,913,916,119400,916
2017-01-16,923,942,918,932,100900,932
2017-01-13,913,933,895,929,155400,929
2017-01-12,943,943,913,913,303000,913
2017-01-11,946,960,943,947,71000,947
2017-01-10,962,977,942,948,187200,948
2017-01-06,982,982,957,963,210700,963
2017-01-05,997,999,983,993,126900,993
2017-01-04,948,1003,946,1003,341400,1003
2016-12-30,947,947,932,942,116000,942
2016-12-29,946,953,939,951,120600,951
2016-12-28,939,954,937,948,97500,948
2016-12-27,945,953,933,941,108300,941
2016-12-26,951,951,940,943,54500,943
2016-12-22,940,953,938,946,102000,946
2016-12-21,961,961,934,939,139500,939
2016-12-20,942,963,939,961,112900,961
2016-12-19,951,956,937,943,116500,943
2016-12-16,954,970,946,948,178300,948
2016-12-15,948,949,930,948,151600,948
2016-12-14,952,956,931,943,139100,943
2016-12-13,936,952,930,952,115000,952
2016-12-12,942,944,922,936,124400,936
2016-12-09,946,950,928,944,225800,944
2016-12-08,958,958,943,954,131400,954
2016-12-07,933,959,924,948,183600,948
2016-12-06,946,950,927,936,160700,936
2016-12-05,952,959,935,940,131200,940
2016-12-02,987,990,952,959,277500,959
2016-12-01,973,1003,957,995,343700,995
2016-11-30,967,981,955,967,818900,967
2016-11-29,1030,1037,964,970,399900,970
2016-11-28,972,1021,969,1021,323000,1021
2016-11-25,924,969,924,966,222300,966
2016-11-24,923,932,915,916,123700,916
2016-11-22,922,928,913,915,157400,915
2016-11-21,952,952,915,919,199200,919
2016-11-18,944,954,936,947,117600,947
2016-11-17,939,945,913,933,220000,933
2016-11-16,960,974,939,943,300700,943
2016-11-15,1024,1024,945,954,251500,954
2016-11-14,982,1025,982,1019,120700,1019
2016-11-11,996,1005,982,992,121800,992
2016-11-10,996,1005,963,982,157500,982
2016-11-09,1005,1008,907,936,199200,936
2016-11-08,1013,1017,988,1005,78700,1005
2016-11-07,996,1008,985,1007,89400,1007
2016-11-04,976,985,963,981,151500,981
2016-11-02,1000,1013,984,997,210100,997
2016-11-01,1022,1022,993,1010,98400,1010
2016-10-31,1030,1033,1007,1014,145400,1014
2016-10-28,1036,1040,1015,1033,172700,1033
2016-10-27,1002,1029,997,1026,158700,1026
2016-10-26,994,1005,985,995,120900,995
2016-10-25,979,998,972,991,115000,991
2016-10-24,971,986,961,976,83200,976
2016-10-21,1000,1001,967,971,140600,971
2016-10-20,985,1005,981,994,154900,994
2016-10-19,960,987,959,980,177500,980
2016-10-18,959,963,945,952,108900,952
2016-10-17,959,972,948,957,132000,957
2016-10-14,937,960,935,955,159800,955
2016-10-13,915,940,915,937,135100,937
2016-10-12,917,923,911,913,112200,913
2016-10-11,921,934,919,927,57500,927
2016-10-07,930,934,914,921,85000,921
2016-10-06,921,928,918,927,74100,927
2016-10-05,929,938,912,916,108900,916
2016-10-04,923,923,913,920,100200,920
2016-10-03,922,928,914,921,116400,921
2016-09-30,915,925,910,914,72800,914
2016-09-29,932,938,914,918,111900,918
2016-09-28,927,940,910,929,158700,929
2016-09-27,907,922,894,921,159700,921
2016-09-26,897,920,889,911,150100,911
2016-09-23,900,913,892,897,168800,897
2016-09-21,881,898,873,897,125200,897
2016-09-20,856,897,856,880,143100,880
2016-09-16,871,876,855,873,542300,873
2016-09-15,862,880,859,862,107200,862
2016-09-14,875,881,863,868,126400,868
2016-09-13,886,905,879,883,167000,883
2016-09-12,855,878,848,875,118000,875
2016-09-09,902,902,863,864,168600,864
2016-09-08,904,909,886,898,165400,898
2016-09-07,890,928,883,907,387100,907
2016-09-06,834,900,832,895,329900,895
2016-09-05,859,859,832,834,123500,834
2016-09-02,830,851,827,845,206600,845
2016-09-01,820,862,816,834,347300,834
2016-08-31,802,823,797,807,168800,807
2016-08-30,782,791,766,787,158300,787
2016-08-29,786,801,783,790,60400,790
2016-08-26,793,801,785,791,103300,791
2016-08-25,801,808,786,792,103100,792
2016-08-24,828,828,803,816,89000,816
2016-08-23,821,832,800,807,245200,807
2016-08-22,760,824,760,819,237700,819
2016-08-19,776,784,758,764,81900,764
2016-08-18,772,789,767,771,97800,771
2016-08-17,775,793,761,777,181800,777
2016-08-16,808,812,787,788,98600,788
2016-08-15,818,820,805,806,67700,806
2016-08-12,821,843,820,825,141600,825
2016-08-10,800,821,793,813,269800,813
2016-08-09,865,866,801,808,351200,808
2016-08-08,807,876,800,863,447000,863
2016-08-05,848,853,806,811,225800,811
2016-08-04,849,866,835,848,126000,848
2016-08-03,860,870,846,849,128800,849
2016-08-02,882,889,865,871,146900,871
2016-08-01,930,930,882,890,144600,890
2016-07-29,909,928,891,921,203200,921
2016-07-28,889,915,874,911,272700,911
2016-07-27,882,891,866,880,173400,880
2016-07-26,879,894,866,874,223500,874
2016-07-25,890,908,880,894,288200,894
2016-07-22,878,890,865,885,203200,885
2016-07-21,875,884,862,879,197100,879
2016-07-20,855,868,838,865,182600,865
2016-07-19,826,865,818,864,285500,864
2016-07-15,835,843,807,817,161900,817
2016-07-14,795,844,795,831,184000,831
2016-07-13,806,819,760,801,194400,801
2016-07-12,798,810,791,805,257700,805
2016-07-11,778,789,769,783,157600,783
2016-07-08,760,779,752,764,160300,764
2016-07-07,781,794,754,770,316600,770
2016-07-06,732,775,720,774,400600,774
2016-07-05,668,736,665,735,517700,735
2016-07-04,695,695,664,667,159900,667
2016-07-01,673,698,667,697,154700,697
2016-06-30,715,716,662,668,254000,668
2016-06-29,680,704,672,698,265900,698
2016-06-28,664,679,642,666,272000,666
2016-06-27,609,659,602,654,274300,654
2016-06-24,627,639,550,569,158500,569
2016-06-23,608,640,597,615,211600,615
2016-06-22,625,625,605,610,66900,610
2016-06-21,614,628,606,625,52800,625
2016-06-20,610,622,610,614,45100,614
2016-06-17,593,611,593,603,125400,603
2016-06-16,618,623,593,593,84700,593
2016-06-15,611,629,610,620,81000,620
2016-06-14,626,638,615,616,87400,616
2016-06-13,642,654,632,632,103000,632
2016-06-10,665,668,656,659,102900,659
2016-06-09,660,671,659,667,35400,667
2016-06-08,673,678,655,664,114400,664
2016-06-07,675,684,672,673,59300,673
2016-06-06,642,675,639,671,152500,671
2016-06-03,660,671,650,654,182400,654
2016-06-02,683,688,661,665,88700,665
2016-06-01,676,695,672,690,118200,690
2016-05-31,675,688,671,685,83000,685
2016-05-30,670,676,664,673,76500,673
2016-05-27,679,679,663,670,132300,670
2016-05-26,670,690,661,669,222100,669
2016-05-25,643,681,643,666,232400,666
2016-05-24,617,647,616,643,193100,643
2016-05-23,606,629,606,619,191900,619
2016-05-20,605,609,598,606,209900,606
2016-05-19,584,613,583,612,319100,612
2016-05-18,551,587,549,578,355200,578
2016-05-17,506,558,506,556,274300,556
2016-05-16,486,506,486,499,191300,499
2016-05-13,493,493,482,488,96100,488
2016-05-12,495,498,485,497,167600,497
2016-05-11,510,515,500,501,170300,501
2016-05-10,500,512,498,510,86000,510
2016-05-09,499,510,496,498,50500,498
2016-05-06,501,508,492,496,60700,496
2016-05-02,488,504,488,503,85500,503
2016-04-28,535,538,503,510,186000,510
2016-04-27,537,537,515,530,157500,530
2016-04-26,544,544,522,536,87500,536
2016-04-25,551,554,541,547,105100,547
2016-04-22,518,549,517,547,135400,547
2016-04-21,532,537,518,525,124500,525
2016-04-20,527,532,520,522,77000,522
2016-04-19,534,539,525,527,81900,527
2016-04-18,522,533,513,530,91700,530
2016-04-15,521,530,519,526,51500,526
2016-04-14,526,532,519,530,113600,530
2016-04-13,510,523,510,516,97100,516
2016-04-12,496,509,493,504,100500,504
2016-04-11,503,504,481,497,58500,497
2016-04-08,485,509,479,500,79400,500
2016-04-07,491,504,486,490,81800,490
2016-04-06,489,495,487,491,69200,491
2016-04-05,510,511,490,496,137100,496
2016-04-04,509,519,503,510,96000,510
2016-04-01,530,532,509,509,115100,509
2016-03-31,535,541,530,531,85200,531
2016-03-30,554,554,530,532,113400,532
2016-03-29,549,560,549,557,40800,557
2016-03-28,560,562,550,558,67100,558
2016-03-25,568,568,551,560,65100,560
2016-03-24,560,570,549,566,103000,566
2016-03-23,564,566,558,564,78700,564
2016-03-22,559,564,541,563,100200,563
2016-03-18,555,555,541,549,78600,549
2016-03-17,532,553,532,549,142300,549
2016-03-16,529,537,526,527,84700,527
2016-03-15,540,547,529,531,129900,531
2016-03-14,531,538,527,537,88200,537
2016-03-11,503,522,502,521,119200,521
2016-03-10,512,518,503,513,57600,513
2016-03-09,512,516,502,506,51400,506
2016-03-08,529,529,507,518,90500,518
2016-03-07,527,532,522,530,90700,530
2016-03-04,528,536,520,526,92600,526
2016-03-03,510,525,508,524,56800,524
2016-03-02,514,519,508,511,104500,511
2016-03-01,500,509,495,498,69900,498
2016-02-29,520,520,501,504,86600,504
2016-02-26,526,537,512,517,74000,517
2016-02-25,506,534,506,524,79100,524
2016-02-24,493,517,487,504,87800,504
2016-02-23,521,522,496,498,89700,498
2016-02-22,516,527,510,520,62800,520
2016-02-19,520,529,515,519,139400,519
2016-02-18,528,534,516,528,94900,528
2016-02-17,512,525,498,512,117400,512
2016-02-16,493,523,490,505,95000,505
2016-02-15,485,501,470,497,212700,497
